区划代码,城乡属性,城乡分类,区划名称
310230000000 ,0,0,崇明县
151151101000 ,10,0,城桥镇
151151101001 ,12,121,南门居委会
151151101003 ,12,121,花园弄居委会
151151101004 ,12,121,新崇居委会
151151101005 ,12,121,城中居委会
151151101006 ,12,121,吴家弄居委会
151151101007 ,11,121,川心街居委会
151151101008 ,12,121,西泯沟居委会
151151101009 ,12,121,东河沿居委会
151151101011 ,12,121,北门社区居委会
151151101013 ,12,121,西门南村居委会
151151101014 ,12,121,西门北村居委会
151151101015 ,12,121,城西居委会
151151101016 ,12,121,东门新村居委会
151151101017 ,12,121,玉环新村居委会
151151101019 ,12,121,江山新村居委会
151151101020 ,12,121,学宫新村居委会
151151101021 ,12,121,湄洲新村居委会
151151101022 ,12,121,观潮新村居委会
151151101023 ,12,121,小港新村居委会
151151101024 ,12,121,永凤居委会
151151101025 ,12,121,怡祥居居委会
151151101026 ,18,123,城东居委会
151151101027 ,12,121,明珠花苑居委会
151151101028 ,12,121,金珠居委会
151151101029 ,12,121,海岛星城居委会
151151101030 ,12,121,金鳌山社区居委会
151151101203 ,13,122,城桥村村委会
151151101208 ,13,122,马桥村村委会
151151101212 ,13,122,运粮村村委会
151151101214 ,13,122,新闸村村委会
151151101215 ,19,220,元六村村委会
151151101217 ,19,220,湾南村村委会
151151101218 ,13,122,利民村村委会
151151101220 ,13,122,老滧港渔村村委会
151151101222 ,19,220,推虾港村村委会
151151101225 ,19,220,鳌山村村委会
151151101230 ,19,220,侯南村村委会
151151101231 ,19,220,聚训村村委会
151151101233 ,13,122,山阳村村委会
151151101234 ,19,220,长兴村村委会
151151102000 ,30,0,堡镇
151151102001 ,32,121,解放社区居委会
151151102003 ,32,121,电业社区居委会
151151102006 ,32,121,向阳社区居委会
151151102009 ,31,121,正大社区居委会
151151102010 ,32,121,光明社区居委会
151151102012 ,32,121,新港社区居委会
151151102013 ,32,121,玉屏社区居委会
151151102014 ,32,121,交通社区居委会
151151102016 ,32,121,虹宝社区居委会
151151102202 ,33,122,永和村村委会
151151102204 ,33,122,花园村村委会
151151102206 ,39,220,桃源村村委会
151151102207 ,33,122,财贸村村委会
151151102208 ,39,220,堡北村村委会
151151102210 ,33,122,堡港村村委会
151151102213 ,39,220,营房村村委会
151151102217 ,39,220,人民村村委会
151151102218 ,33,122,堡渔村村委会
151151102219 ,33,122,堡兴村村委会
151151102221 ,33,122,菜园村村委会
151151102222 ,39,220,南海村村委会
151151102223 ,39,220,小漾村村委会
151151102225 ,39,220,米行村村委会
151151102228 ,39,220,瀛南村村委会
151151102229 ,39,220,四效村村委会
151151102230 ,39,220,彷徨村村委会
151151102232 ,33,122,五效村村委会
151151103000 ,30,0,新河镇
151151103001 ,32,121,新南居委会
151151103004 ,32,121,新东居委会
151151103005 ,38,123,新晨居委会
151151103006 ,32,121,新源居委会
151151103007 ,31,121,新景居委会
151151103008 ,32,121,新舟居委会
151151103203 ,39,220,天新村村委会
151151103204 ,33,122,金桥村村委会
151151103205 ,33,122,石路村村委会
151151103208 ,39,220,新梅村村委会
151151103209 ,39,220,三烈村村委会
151151103210 ,33,122,兴教村村委会
151151103211 ,39,220,井亭村村委会
151151103219 ,39,220,新民村村委会
151151103220 ,39,220,永丰村村委会
151151103221 ,39,220,群英村村委会
151151103222 ,39,220,卫东村村委会
151151103223 ,39,220,新建村村委会
151151103228 ,39,220,民生村村委会
151151103229 ,39,220,新隆村村委会
151151103230 ,39,220,进化村村委会
151151103232 ,39,220,强民村村委会
151151103237 ,39,220,新光村村委会
151151104000 ,30,0,庙镇
151151104001 ,32,121,庙镇居委会
151151104002 ,38,123,猛将庙居委会
151151104003 ,38,123,江口居委会
151151104202 ,39,220,爱民村村委会
151151104203 ,39,220,南星村村委会
151151104205 ,39,220,庙南村村委会
151151104206 ,33,122,庙西村村委会
151151104209 ,39,220,米洪村村委会
151151104211 ,31,121,庙中村村委会
151151104215 ,39,220,庙港村村委会
151151104216 ,39,220,白港村村委会
151151104217 ,39,220,万安村村委会
151151104218 ,39,220,鸽龙村村委会
151151104219 ,39,220,万北村村委会
151151104221 ,39,220,宏达村村委会
151151104229 ,39,220,民华村村委会
151151104231 ,39,220,江镇村村委会
151151104235 ,39,220,启瀛村村委会
151151104236 ,39,220,联益村村委会
151151104237 ,39,220,镇东村村委会
151151104238 ,39,220,通济村村委会
151151104239 ,39,220,和平村村委会
151151104243 ,39,220,合中村村委会
151151104244 ,39,220,小竖村村委会
151151104246 ,39,220,猛东村村委会
151151104247 ,39,220,窑桥村村委会
151151104248 ,39,220,周河村村委会
151151104249 ,39,220,猛西村村委会
151151104250 ,39,220,保东村村委会
151151104254 ,39,220,永乐村村委会
151151104258 ,39,220,保安村村委会
151151105000 ,30,0,竖新镇
151151105001 ,38,123,新乐居委会
151151105002 ,33,122,瀛兴居委会
151151105202 ,39,220,堡西村村委会
151151105205 ,39,220,东新村村委会
151151105206 ,39,220,油桥村村委会
151151105207 ,33,122,明强村村委会
151151105210 ,39,220,永兴村村委会
151151105214 ,39,220,竖西村村委会
151151105216 ,39,220,惠民村村委会
151151105217 ,39,220,竖河村村委会
151151105218 ,39,220,竖南村村委会
151151105220 ,39,220,新征村村委会
151151105223 ,39,220,仙桥村村委会
151151105226 ,39,220,大东村村委会
151151105227 ,39,220,响同村村委会
151151105228 ,39,220,跃进村村委会
151151105229 ,31,121,春风村村委会
151151105230 ,39,220,时桥村村委会
151151105231 ,39,220,椿南村村委会
151151105233 ,33,122,大椿村村委会
151151105234 ,39,220,前哨村村委会
151151105236 ,39,220,育才村村委会
151151105239 ,39,220,前卫村村委会
151151106000 ,30,0,向化镇
151151106001 ,31,121,向宏居委会
151151106201 ,33,122,六滧村村委会
151151106202 ,33,122,花仓村村委会
151151106206 ,39,220,南江村村委会
151151106209 ,39,220,春光村村委会
151151106210 ,39,220,阜康村村委会
151151106212 ,33,122,向化村村委会
151151106217 ,39,220,齐南村村委会
151151106219 ,39,220,北港村村委会
151151106220 ,33,122,卫星村村委会
151151106222 ,39,220,米新村村委会
151151106226 ,39,220,渔业村村委会
151151107000 ,30,0,三星镇
151151107001 ,31,121,三星居委会
151151107201 ,39,220,沈镇村村委会
151151107202 ,39,220,洪海村村委会
151151107203 ,33,122,东安村村委会
151151107204 ,39,220,平安村村委会
151151107205 ,33,122,协进村村委会
151151107209 ,39,220,海洪港村村委会
151151107212 ,39,220,纯阳村村委会
151151107213 ,39,220,南协村村委会
151151107215 ,39,220,育德村村委会
151151107216 ,39,220,育新村村委会
151151107219 ,39,220,三协村村委会
151151107220 ,39,220,西新村村委会
151151107221 ,39,220,邻江村村委会
151151107223 ,39,220,南桥村村委会
151151107227 ,39,220,新安村村委会
151151107229 ,39,220,永安村村委会
151151107230 ,39,220,大平村村委会
151151107233 ,39,220,海中村村委会
151151107236 ,39,220,北桥村村委会
151151107239 ,39,220,海滨村村委会
151151107241 ,39,220,海安村村委会
151151108000 ,30,0,港沿镇
151151108001 ,31,121,沿中居委会
151151108201 ,33,122,建中村村委会
151151108202 ,33,122,建华村村委会
151151108204 ,33,122,港沿村村委会
151151108206 ,33,122,齐力村村委会
151151108208 ,33,122,跃马村村委会
151151108210 ,33,122,骏马村村委会
151151108213 ,33,122,富国村村委会
151151108215 ,39,220,富强村村委会
151151108216 ,39,220,惠中村村委会
151151108217 ,39,220,富军村村委会
151151108219 ,39,220,齐成村村委会
151151108223 ,39,220,惠军村村委会
151151108225 ,39,220,梅园村村委会
151151108227 ,33,122,漾滨村村委会
151151108228 ,39,220,合东村村委会
151151108229 ,39,220,合兴村村委会
151151108230 ,39,220,同效村村委会
151151108232 ,33,122,鲁东村村委会
151151108233 ,33,122,鲁屿村村委会
151151108234 ,39,220,园艺村村委会
151151108235 ,39,220,同心村村委会
310230114000 ,30,0,中兴镇
310230114001 ,31,121,广福居委会
310230114202 ,39,220,七滧村村委会
310230114203 ,39,220,爱国村村委会
310230114205 ,39,220,红星村村委会
310230114206 ,39,220,滧中村村委会
310230114209 ,33,122,中兴村村委会
310230114212 ,39,220,永南村村委会
310230114213 ,39,220,胜利村村委会
310230114214 ,39,220,北兴村村委会
310230114216 ,33,122,汲浜村村委会
310230114218 ,39,220,永隆村村委会
310230114220 ,39,220,富圩村村委会
310230114221 ,39,220,开港村村委会
310230115000 ,30,0,陈家镇
310230115001 ,31,121,裕弘居委会
310230115002 ,32,121,瀛陈居委会
310230115003 ,32,121,裕鸿佳苑居委会
310230115004 ,32,121,裕鸿佳苑第三社区居委会
310230115201 ,39,220,立新村村委会
310230115202 ,39,220,新桥村村委会
310230115205 ,32,121,铁塔村村委会
310230115207 ,39,220,东海村村委会
310230115209 ,39,220,朝阳村村委会
310230115212 ,33,122,陈南村村委会
310230115215 ,39,220,瀛东村村委会
