SID,COL,SCODE,YEAR,TASK,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B124,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B201,B202,B203,B204,B205,B206,B207,B208,B209,B210,B211,B212,B213,B214,B215,B216,B217,B218,B219,B220,B221,B222,B223,B224,B225,B226,B230,B231,B232,B233,B234,B235,B236,B237,B238,B239,B240,B241,B242,B243,B244
310151101010001H06201,1,1.062.01h,2018,3,1,5,2,4,40,1,1,1,4,1,1,1,4,2,7,3,1985,80,1000,2000,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,5,,,,,4,2,2,2,,2,
310151101010001H07401,1,1.074.01h,2018,3,1,4,2,4,130,1,1,1,4,1,1,1,2,2,7,6,2000,300,2000,2016,273,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,4,1,,,,1,,2,2,1,1,,,,,,,,,,,,,,,,4,1,2,2,,2,
310151101010001H04901,1,1.049.01h,2018,3,1,1,2,3,121,1,1,1,4,1,1,1,2,2,7,3,2004,200,3000,2004,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,2,2,2,1,,,,1,1,3,3,1,1,,,,,,,,,,,20,,,,,4,1,2,2,,2,
310151101010001H03901,1,1.039.01h,2018,3,1,4,2,4,129,1,1,1,4,1,1,1,2,2,7,6,2000,280,2000,2000,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,1,3,3,4,1,,,,1,1,2,2,1,1,,1,,,,,1,,,,10,,,,,4,1,2,2,,2,
310151101010001H03501,1,1.035.01h,2018,3,1,5,2,5,77,1,1,1,4,1,1,1,2,2,7,6,1982,150,2000,1998,0.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,1,1,1,,,1,1,1,1,,,,,,,,,,,,,5,,,,,4,2,2,2,,2,
310151101010001H06901,1,1.069.01h,2018,3,1,4,2,4,90,1,1,1,4,1,1,1,2,2,7,6,2000,180,1500,2009,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,3,3,3,1,,,,1,1,3,3,1,1,,1,,,,,,,,,15,,,,,4,1,2,2,,2,
310151101010001H04601,1,1.046.01h,2018,3,1,5,2,4,76,1,1,1,4,1,1,1,2,2,7,6,1999,190,2000,1999,9,5,5,2.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,3,1,,,,1,1,3,3,1,1,,1,,,,,,,,,15,,,,,4,1,2,2,,2,
310151101010001H04401,1,1.044.01h,2018,3,1,4,2,4,90,1,1,1,4,1,1,1,2,2,7,6,2000,200,1500,2000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,3,4,1,,,,1,1,3,3,3,3,,,,,,,,,,,10,,,,,4,1,2,2,,2,
310151101010001H05101,1,1.051.01h,2018,3,1,5,2,5,56,1,1,1,4,1,1,1,2,2,6,6,1985,100,1000,1986,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,2,2,1,1,,,,,,,,,,,5,,,,,4,2,2,2,,2,
310151101010001H08001,1,1.080.01h,2018,3,1,5,2,4,46,1,1,1,4,1,1,1,2,2,7,6,1988,100,1000,2015,50,29,29,6,15,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,,,,1,,3,3,1,1,,,,,,,,,,,10,,,,,4,2,2,2,,2,
310151101012001H03301,1,2.033.01h,2018,3,1,5,2,4,57,1,1,1,4,1,1,1,2,2,7,6,1986,120,1500,2012,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,2,2,2,1,,,,1,1,2,2,1,1,,1,1,,,,,,,,8,,,,,4,1,2,2,,2,
310151101012001H02301,1,2.023.01h,2018,3,1,5,2,5,51,1,1,1,4,1,1,1,2,2,7,6,1990,110,1000,1991,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,2,2,,,,,,,,,,,,,25,,,,,4,1,2,2,,2,
310151101012001H04101,1,2.041.01h,2018,3,1,6,2,4,45,1,1,1,4,1,1,1,2,2,7,3,1986,100,1000,2008,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,1,2,2,1,1,1,,,,1,2,2,1,1,,,,,,,,,,,5,,,,,4,2,2,2,,2,
310151101012001H07301,1,2.073.01h,2018,3,1,1,2,3,300,1,1,1,4,1,1,1,2,2,7,6,1988,450,3000,1988,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,1,,,,1,1,2,2,,,,,,,,,,,,,20,,,,,4,1,2,2,,2,
310151101012001H07001,1,2.070.01h,2018,3,1,1,2,3,240,1,1,1,4,1,1,1,2,2,7,6,1989,480,500,1989,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,6,1,1,,,1,1,1,1,,,,,,,,,,,,,30,,,,,4,2,2,2,,2,
310151101012001H01401,1,2.014.01h,2018,3,1,5,2,5,53,1,1,1,4,1,1,1,2,2,7,6,1986,120,1200,1988,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,,,,1,1,2,2,1,1,,1,,,,,1,,,,5,,,,,4,2,2,2,,2,
310151101012001H07401,1,2.074.01h,2018,3,1,1,2,3,200,1,1,1,4,1,1,1,2,2,7,6,1987,500,3000,1987,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,5,1,,,,1,1,1,1,2,,,,,,,,,,,,10,,,,,4,1,2,2,,2,
310151101012001H03501,1,2.035.01h,2018,3,1,5,2,4,50,1,1,1,4,1,1,1,2,2,7,6,1988,120,1500,2015,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,,1,1,,,,,,,,,1,,,,5,,,,,4,2,2,2,,2,
310151101012001H04601,1,2.046.01h,2018,3,1,6,2,5,42,1,1,1,4,1,1,1,2,2,7,6,1988,80,1000,1993,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,3,3,1,1,,,,,,,,,,,10,,,,,4,2,2,2,,2,
310151101012001H06801,1,2.068.01h,2018,3,1,1,2,3,200,1,1,1,4,1,1,1,2,2,7,6,1987,400,3000,1987,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,2,1,,,,1,1,2,2,,,,,,,,,,,,,25,,,,,4,2,2,2,,2,
310151101024001H04001,1,3.040.01h,2018,3,1,4,2,2,103,1,1,1,4,1,1,1,2,2,7,3,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,1,1,1,1,,,,,,4,4,1,1,,,,,,,,,,,25,,,,,4,1,2,2,,2,
310151101024001H04401,1,3.044.01h,2018,3,1,4,2,7,120,1,1,1,4,1,1,1,2,2,7,6,2005,240,2000,2009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,2,2,3,1,,,,1,1,2,2,1,1,,,,,,,1,,,,5,,,,,4,1,2,2,,2,
310151101024001H04901,1,3.049.01h,2018,3,1,5,2,7,100,1,1,1,4,1,1,1,2,2,7,6,2005,200,1000,2011,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,1,2,2,2,1,,,,1,,2,2,1,1,,,,,,,,,,,10,,,,,4,1,2,2,,2,
310151101024001H06201,1,3.062.01h,2018,3,1,4,2,7,102,1,1,1,4,1,1,1,2,2,7,6,2007,200,2000,2010,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,,,,1,,2,2,,,,,,,,,1,,,,10,,,,,4,1,2,2,,2,
310151101024001H00601,1,3.006.01h,2018,3,1,5,2,7,88,1,1,1,4,1,1,1,2,2,7,6,2005,180,1500,2011,6.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,2,1,,,,1,,2,2,,,,,,,,,,,,,18,,,,,4,1,2,2,,2,
310151101024001H07801,1,3.078.01h,2018,3,1,5,2,7,86,1,1,1,4,1,1,1,2,2,7,6,2005,170,1500,2011,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,2,2,3,1,,,,1,1,2,2,1,1,,,,,,,,,,,25,,,,,4,1,2,2,,2,
310151101024001H07901,1,3.079.01h,2018,3,1,5,2,7,86,1,1,1,4,1,1,1,2,2,7,6,2005,172,1500,2011,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,1,,,,1,,2,2,1,1,,,,,,,,,,,10,,,,,4,1,2,2,,2,
310151101024001H05001,1,3.050.01h,2018,3,1,4,2,7,120,1,1,1,4,1,1,1,2,2,7,6,2005,240,1500,2008,5.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,3,3,3,2,1,,,1,1,2,2,1,1,,,,,,1,1,,,,15,,,,,4,1,2,2,,2,
310151101024001H03801,1,3.038.01h,2018,3,1,5,2,7,88,1,1,1,4,1,1,1,2,2,7,6,2005,180,1500,2010,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,,,,1,1,2,,,,,,,,,,,,,,5,,,,,4,1,2,2,,2,
310151101024001H01001,1,3.010.01h,2018,3,1,5,2,7,91,1,1,1,4,1,1,1,2,2,7,6,2005,185,1500,2008,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,2,1,,,,1,,1,1,,,,,,,,,,,,,25,,,,,4,1,2,2,,2,
310151101025001H00201,1,4.002.01h,2018,3,1,5,1,7,80,1,1,1,4,1,1,1,2,2,7,6,2008,200,1000,2012,176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,,,,1,1,,,,,,,,,,,,,,,5,,,,,4,1,2,2,,2,
310151101025001H04701,1,4.047.01h,2018,3,1,4,1,4,120,1,1,1,4,1,1,1,2,2,7,6,2007,280,2000,2011,120,20,20,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,3,3,1,,,,1,1,3,3,1,1,,,,,,,,,,,5,,,,,4,1,2,2,,2,
