SID,COUN,SCODE,YEAR,MONTH,PAGE,LINE,CODE,AMOUNT,MONEY,NOTE,PERSON,SOURCETYPE
//Ñù±¾ID,ÏØÂë,Ñù±¾±àÂë,Äê,ÔÂ,Ò³,ÐÐ,±àÂë,ÊýÁ¿,½ð¶î,ÊýÁ¿2,ÈËÂë,
310151101010001H03501,310151,1.035.01h,2018,06,1,1,641111,,0,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,1,2,651111,0,,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,2,1,240111,,7600,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,2,2,240111,,3424.5,0,1,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,2,3,240491,,180,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,2,4,240491,,150,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,2,5,250261,,5,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,2,6,240111,,2000,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,3,1,333111,11,30,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,3,2,333211,78,38.2,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,3,3,333305,4,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,3,4,352211,,20.1,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,1,372111,,303.02,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,2,372111,,350.55,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,3,372111,,357.95,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,4,372111,,59.7,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,5,372111,,16,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,6,372111,,205.65,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,4,7,372111,,298.9,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,1,240511,,254.56,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,2,240511,,315.5,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,3,240511,,302.21,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,4,240511,,50.7,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,5,240511,,5,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,6,240511,,172.37,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,5,7,240511,,242.11,0,2,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,1,311141,,6.9,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,2,311039,.4,1.8,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,3,311061,.35,28,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,4,311081,.25,15,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,5,552411,,500,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,6,311123,.492,8.8,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,7,311123,.494,8.6,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,8,311102,.69,11.9,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,9,311091,2,32,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,10,311081,.5,30,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,11,311061,1,28,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,12,344911,,10,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,13,311111,2,16,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,14,311111,4,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,6,15,311051,1.5,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,1,311102,1.38,23.8,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,2,552211,,1400,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,3,311123,1.552,67.77,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,4,311123,.316,12.32,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,5,311101,2.88,88.8,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,6,311102,1.32,25.9,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,7,311135,,13,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,8,311139,,5.3,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,9,312291,,82.8,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,10,311133,,20.5,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,11,311061,1.75,48,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,12,311051,1,8,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,13,311111,3,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,14,311111,3,30,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,7,15,312111,10,180,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,1,313211,,800,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,2,311061,.25,20,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,3,311061,.5,28,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,4,311111,1,14,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,5,311111,1.5,15,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,6,311082,.25,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,7,321111,,25,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,8,311111,1,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,9,311111,2.5,20,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,10,311111,1.5,12,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,11,311082,.3,15,0,99,·ñ
310151101010001H03501,310151,1.035.01h,2018,06,8,12,311051,.5,15,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,1,311061,1.1,30,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,2,311111,2.5,17.5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,3,311082,.4,25,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,4,313211,,780,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,5,313211,,39,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,6,311139,,13,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,7,351411,,30,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,8,352191,,50,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,9,311061,1.25,35,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,10,311051,1,8,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,11,311053,.5,5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,12,311051,.5,5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,13,311051,.5,6,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,14,311082,.5,30,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,1,15,311102,1,9.9,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,1,311141,,15.5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,2,311062,.25,20,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,3,311141,,8,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,4,311051,.5,5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,5,311039,.5,3,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,6,312111,1,45,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,7,311051,.5,3.5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,8,311061,1,28,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,9,311051,.5,5,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,10,311102,1,9.9,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,11,311111,11,132,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,12,311111,5,60,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,13,311111,1.5,48,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,14,311109,.5,35,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,2,15,313211,,20,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,3,1,362351,,276,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,3,2,311039,.25,3,0,99,·ñ
310151101010001H03901,310151,1.039.01h,2018,06,3,3,311051,.5,3,0,99,·ñ
