HID,COUN,VCODE,HCODE,OWNER,HADDR,INTCODE,HSTATUS,HCHANGE,M101,M102,M103,M104,M105,M106
//住宅标识,县区代码,调查小区顺序码,住宅编码,样本归属,住宅地址,访问员编码,住宅状态码,换宅标识,住宅类型,建筑样式,建筑面积,市场估值,居住情况,宅内户数
310151101010001H029,310151,1,29,11,西门南村44号312室,,2,,1,6,40,100,1,1
310151101010001H035,310151,1,35,11,西门南村12号403室,,1,042,1,5,77,193,1,1
310151101010001H039,310151,1,39,11,西门路105号402室,,1,057,1,4,129,323,1,1
310151101010001H042,310151,1,42,11,西门路65号205室,,2,,1,4,105,263,1,1
310151101010001H044,310151,1,44,11,西门路49号604室,,1,071,1,4,90,225,1,1
310151101010001H046,310151,1,46,11,西门路27号602室,,1,,1,2,76,190,1,1
310151101010001H049,310151,1,49,11,西门村331号,,1,055,1,1,240,300,1,1
310151101010001H051,310151,1,51,11,西门南村17号204室,,1,,1,5,56,140,1,1
310151101010001H055,310151,1,55,11,西门南村18号101室,,2,,1,5,57,142,1,1
310151101010001H057,310151,1,57,11,西门南村22号304室,,2,,1,2,52,130,1,1
310151101010001H062,310151,1,62,11,西门南村11号102室,,1,,1,6,39,98,1,1
310151101010001H069,310151,1,69,11,南门路218-3号305室,,1,029,1,4,88,220,1,1
310151101010001H071,310151,1,71,11,南门路318-5号102室,,2,,1,4,92,225,1,1
310151101010001H074,310151,1,74,11,南门路318-11号304室,,1,,1,4,129,285,1,1
310151101010001H080,310151,1,80,11,西门南村10号507室,,1,,1,5,45,113,1,1
310151101012001H009,310151,2,9,11,城桥镇西门北村59号208室,,2,,1,5,57,143,1,1
310151101012001H014,310151,2,14,11,城桥镇西门北村61号202室,,1,,1,5,53,132,1,1
310151101012001H020,310151,2,20,11,城桥镇西门北村63号304室,,2,,1,5,57,142,1,1
310151101012001H023,310151,2,23,11,城桥镇西门北村72号101室,,1,045,1,5,55,137,1,1
310151101012001H033,310151,2,33,11,城桥镇西门北村69号308室,,1,020,1,5,57,142,1,1
310151101012001H035,310151,2,35,11,城桥镇西门北村68号202室,,1,,1,5,51,126,1,1
310151101012001H041,310151,2,41,11,城桥镇西门北村67号608室,,1,009,1,6,45,113,1,1
310151101012001H045,310151,2,45,11,城桥镇西门北村66号602室,,2,,1,5,50,125,1,1
310151101012001H046,310151,2,46,11,城桥镇西门北村64号202室,,1,,1,6,43,108,1,1
310151101012001H047,310151,2,47,11,城桥镇西门北村64号604室,,2,,1,5,57,143,1,1
310151101012001H052,310151,2,52,11,城桥镇西门北村78号302室,,2,,1,6,43,108,1,1
310151101012001H068,310151,2,68,11,城桥镇西城路138号,,1,076,1,2,200,5,1,1
310151101012001H070,310151,2,70,11,城桥镇西城路184号-鲁,,1,047,1,2,240,3,1,1
310151101012001H073,310151,2,73,11,城桥镇西城路242号,,1,052,1,1,300,120,1,1
310151101012001H074,310151,2,74,11,人民路538号,,1,,1,1,200,400,1,1
310151101012001H076,310151,2,76,11,施翘村802号,,2,,1,2,60,12,1,1
310151101024001H006,310151,3,6,11,东引路877弄17号302,,1,071,1,5,88,176,1,1
310151101024001H010,310151,3,10,11,东引路877弄34号201,,1,061,1,4,91,182,1,1
310151101024001H015,310151,3,15,11,东引路877弄53号102,,2,,1,5,78,156,1,1
310151101024001H038,310151,3,38,11,东引路877弄155号202,,1,055,1,5,90,180,1,1
310151101024001H040,310151,3,40,11,湄洲路1288弄1号102室,,1,,1,4,102,204,1,1
310151101024001H044,310151,3,44,11,湄洲路1288弄14号302室,,1,,1,4,120,240,1,1
310151101024001H049,310151,3,49,11,湄洲路1288弄29号502室,,1,,1,4,100,200,1,1
310151101024001H050,310151,3,50,11,湄洲路1288弄32号201室,,1,059,1,4,120,240,1,1
310151101024001H055,310151,3,55,11,湄洲路1288弄44号101室,,2,,1,5,87,174,1,1
310151101024001H059,310151,3,59,11,湄洲路1288弄57号202室,,2,,1,4,103,206,1,1
310151101024001H061,310151,3,61,11,湄洲路1288弄62号301室,,2,,1,4,103,206,1,1
310151101024001H062,310151,3,62,11,湄洲路1288弄65号101室,,1,,1,4,100,200,1,1
310151101024001H064,310151,3,64,11,湄洲路1288弄69号402室,,2,,1,4,110,220,1,1
310151101024001H071,310151,3,71,11,湄洲路1288弄90号502室,,2,,1,4,120,240,1,1
310151101024001H078,310151,3,78,11,湄洲路1288弄115号102室,,1,064,1,5,80,160,1,1
310151101024001H079,310151,3,79,11,湄洲路1288弄118号201室,,1,015,1,5,86,172,1,1
310151101025001H001,310151,4,1,11,绿海路501弄4号401室,,1,,1,4,121,327,1,1
310151101025001H002,310151,4,2,11,绿海路501弄19号103室,,1,015,1,5,80,208,1,1
310151101025001H004,310151,4,4,11,绿海路501弄29号202室1,,1,,1,5,87,235,1,1
310151101025001H014,310151,4,14,11,绿海路501弄61号402室,,1,,1,4,115,311,1,1
310151101025001H015,310151,4,15,11,绿海路501弄53号101室,,2,,1,5,87,226,1,1
310151101025001H028,310151,4,28,11,绿海路501弄121号301室,,1,,1,5,80,216,1,1
310151101025001H047,310151,4,47,11,绿海路500弄36号201室,,1,075,1,4,120,312,1,1
310151101025001H050,310151,4,50,11,绿海路500弄45号101室,,1,060,1,5,102,255,1,1
310151101025001H060,310151,4,60,11,绿海路500弄136号501室,,2,,1,5,80,200,1,1
310151101025001H069,310151,4,69,11,绿海路500弄102号102室,,1,080,1,5,108,270,1,1
310151101025001H074,310151,4,74,11,绿海路500弄100号601室,,1,,1,4,115,288,1,1
310151101025001H075,310151,4,75,11,绿海路500弄92号102室,,2,,1,5,80,200,1,1
310151101025001H077,310151,4,77,11,绿海路500弄76号102室,,1,,1,4,106,265,1,1
310151101025001H080,310151,4,80,11,绿海路500弄87号102室,,2,,1,4,120,300,1,1
310151101027001H005,310151,5,5,11,乔松路799弄61号201室,,1,063,1,5,88,300,1,1
310151101027001H010,310151,5,10,11,乔松路799弄83号501室,,1,,1,5,87,261,1,1
310151101027001H022,310151,5,22,11,乔松路799弄100号501室,,1,071,1,4,109,327,1,1
