vID,coun,counName,townName,level,vCode,vNo,VillType,vName,hSamples1,hSamples2,StatsCode,vStatus,HouseCount,smpGroups,pop1,pop2,isPoorVill,poorFamilies,level2,nvType,VCHANGE,YLEVEL
//调查小区ID,县区代码,县区名称,乡镇名称,城乡分类代码,调查小区顺序码,调查小区样本位置,样本类型,调查小区名称,设计样本数,抽选样本数,统计用区划代码,调查小区状态码,住宅总数,本期样本组,户籍人口数,常住人口数,是否建档立卡贫困村,建档立卡户数,城乡类别,村居类别,换村标识,原城乡分类代码
310151101027001,310151,崇明区,城桥镇,111,5,5,10000,江帆社区居委会,10,10,310151101027,1,80,1,665,2275,,,1,1,,1
310151101012001,310151,崇明区,城桥镇,111,2,2,10000,城西居委会,10,10,310151101012,1,80,1,2852,3625,,,1,1,,1
310151101025001,310151,崇明区,城桥镇,111,4,4,10000,海岛星城居委会,10,10,310151101025,1,80,1,1009,4820,,,1,1,,1
310151101010001,310151,崇明区,城桥镇,111,1,1,10000,西门南村居委会,10,10,310151101010,1,80,1,3444,3870,,,1,1,,1
310151101024001,310151,崇明区,城桥镇,111,3,3,10000,金珠居委会,10,10,310151101024,1,80,1,907,8975,,,1,1,,1
310151102004001,310151,崇明区,堡镇,121,6,6,10000,正大社区居委会,10,10,310151102004,1,80,1,2475,2850,,,1,1,,1
310151115002001,310151,崇明区,东平镇,123,29,29,10000,风伟新村居委会,10,10,310151115002,1,80,1,1674,1243,,,1,1,,1
310151114003001,310151,崇明区,新海镇,123,28,28,10000,新海二村居委会,10,10,310151114003,1,80,1,2403,2687,,,1,1,,1
310151103002001,310151,崇明区,新河镇,121,9,9,10000,新东居委会,10,10,310151103002,1,80,1,1252,1000,,,1,1,,1
310151202213001,310151,崇明区,横沙乡,210,34,34,11010,新永村村委会,10,10,310151202213,1,80,1,1737,1814,2,0,2,2,,2
310151202216001,310151,崇明区,横沙乡,220,35,35,11010,永发村村委会,10,10,310151202216,1,80,1,1765,1662,2,0,2,2,,2
310151116220002,310151,崇明区,长兴镇,122,32,32,11010,先丰村村委会002,10,10,310151116220,1,80,1,2278,10298,2,0,1,2,,1
310151116217001,310151,崇明区,长兴镇,122,31,31,11010,团结村村委会,10,10,310151116217,1,80,1,1971,2725,2,0,1,2,,1
310151111204001,310151,崇明区,绿华镇,220,24,24,11010,华荣村村委会,10,10,310151111204,1,80,1,854,886,2,0,2,2,,2
310151107207001,310151,崇明区,三星镇,220,18,18,11010,纯阳村村委会,10,10,310151107207,1,80,1,1691,1505,2,0,2,2,,2
310151105217001,310151,崇明区,竖新镇,220,16,16,11010,椿南村村委会,10,10,310151105217,1,80,1,1142,1086,2,0,2,2,,2
310151116211001,310151,崇明区,长兴镇,220,30,30,11010,长明村村委会,10,10,310151116211,1,80,1,2613,9765,2,0,2,2,,2
310151112212001,310151,崇明区,港西镇,122,25,25,11010,静南村村委会,10,10,310151112212,1,80,1,2673,4173,2,0,1,2,,1
310151103208001,310151,崇明区,新河镇,220,12,12,11010,新民村村委会,10,10,310151103208,1,80,1,1908,1626,2,0,2,2,,2
310151113201001,310151,崇明区,建设镇,220,26,26,11010,富安村村委会,10,10,310151113201,1,80,1,2293,2247,2,0,2,2,,2
310151201202001,310151,崇明区,新村乡,220,33,33,11010,新卫村村委会,10,10,310151201202,1,80,1,1759,1774,2,0,2,2,,2
310151106204001,310151,崇明区,向化镇,220,17,17,11010,春光村村委会,10,10,310151106204,1,80,1,3076,2385,2,0,2,2,,2
310151104210001,310151,崇明区,庙镇,220,14,14,11010,鸽龙村村委会,10,10,310151104210,1,80,1,2164,2189,2,0,2,2,,2
310151104214001,310151,崇明区,庙镇,220,15,15,11010,江镇村村委会,10,10,310151104214,1,80,1,2059,2193,2,0,2,2,,2
310151103203001,310151,崇明区,新河镇,122,11,11,11010,石路村村委会,10,10,310151103203,1,80,1,2102,2165,2,0,1,2,,1
310151104204001,310151,崇明区,庙镇,122,13,13,11010,庙西村村委会,10,10,310151104204,1,80,1,2840,2475,2,0,1,2,,1
310151109201001,310151,崇明区,中兴镇,220,21,21,11010,七滧村村委会,10,10,310151109201,1,80,1,2784,2665,2,0,2,2,,2
310151110208001,310151,崇明区,陈家镇,220,23,23,11010,陈西村村委会,10,10,310151110208,1,80,1,2381,2350,2,0,2,2,,2
310151113209001,310151,崇明区,建设镇,220,27,27,11010,浜东村村委会,10,10,310151113209,1,80,1,2168,1957,2,0,2,2,,2
310151102218001,310151,崇明区,堡镇,122,8,8,11010,五滧村村委会,10,10,310151102218,1,80,1,3158,2676,2,0,1,2,,1
310151103202001,310151,崇明区,新河镇,122,10,10,11010,金桥村村委会,10,10,310151103202,1,80,1,2898,2765,2,0,1,2,,1
310151108218001,310151,崇明区,港沿镇,122,20,20,11010,鲁东村村委会,10,10,310151108218,1,80,1,3125,2978,2,0,1,2,,1
310151102214001,310151,崇明区,堡镇,220,7,7,11010,米行村村委会,10,10,310151102214,1,80,1,3099,2961,2,0,2,2,,2
310151108204001,310151,崇明区,港沿镇,122,19,19,11010,齐力村村委会,10,10,310151108204,1,80,1,3163,3392,2,0,1,2,,1
310151110206001,310151,崇明区,陈家镇,122,22,22,11010,陈南村村委会,10,10,310151110206,1,80,1,3984,4792,2,0,1,2,,1
